id_projeto_pesquisa,codigo_projeto,titulo,palavras_chave,id_projeto,ano,data_inicio,data_fim,situacao,tipo_projeto,categoria_projeto,id_unidade,unidade,id_coordenador,coordenador,edital,id_grupo_pesquisa,grupo_pesquisa,linha_pesquisa,area_conhecimento_cnpq,objetivos_desenvolvimento_sustentavel
132443856,PVB16078-2019,Inversão multiparamétrica para caracterização de reservatórios usando técnicas de Física Estatística,"caracterização de reservatórios, física estatística, inversão multiparamétrica, predição estocástica, desenvolvimento de algoritmos",91821386,2019,2019/03/01 00:00:00.000,2022/02/28 00:00:00.000,FINALIZADO,EXTERNO,Pesquisa Científica,4069,coordenação do curso de física - a distância,,,,118821148.0,Física Aplicada ao Petroleo,sistemas complexos,física estatística e termodinâmica,
135116176,PVT16142-2019,"Integração, Análise e Visualização de Dados para Suporte à Investigações Criminais","analise de dados, visualização, integração de dados",91824109,2019,2019/05/01 00:00:00.000,2024/05/31 00:00:00.000,RENOVADO,EXTERNO,Pesquisa Científica,125,departamento de informática e matemática aplicada,,,,125841829.0,Avanços em Inteligência Artificial,sistemas inteligentes e aplicações,engenharia de software,Trabalho Decente e Crescimento Econômico; Vida Terrestre
129521667,PIG15879-2018,Análise de desempenho de infraestruturas computacionais para armazenamento e processamento de dados em BigData,"big data, processamento de dados, computação paralela e distribuída, clusters, segurança da informação",91819525,2018,2018/08/01 00:00:00.000,2020/07/31 00:00:00.000,RENOVADO,INTERNO,Pesquisa Científica,56,departamento de engenharia de computacao e automacao,,,(2018) Edital N° 01/2018 - Edital de Bolsas de Pesquisa da UFRN,,,processamento paralelo;avaliação de desempenho;arquiteturas de baixo custo,banco de dados,
129381981,PIJ15785-2018,Multiprova 3: plataforma integrada de provas,"avaliações, provas, ensino presencial, ensino a distância",91818995,2018,2018/08/01 00:00:00.000,2019/07/31 00:00:00.000,FINALIZADO,INTERNO,Pesquisa Científica,4885,escola de ciências e tecnologia,,,(2018) Edital N° 01/2018 - Edital de Bolsas de Pesquisa da UFRN,,,desenvolvimento de tecnologias educacionais,arquitetura de sistemas de computação,
130544156,PIJ15970-2018,Educa-IO: software de avaliações online,"provas virtuais, ensino a distância, sistema uab",91820409,2018,2018/05/23 00:00:00.000,2019/05/22 00:00:00.000,EM EXECUÇÃO,EXTERNO,Pesquisa Científica,4885,escola de ciências e tecnologia,,,,,,tecnologia educacional,arquitetura de sistemas de computação,
129467747,PIT15502-2018,Integração de dados e desenvolvimento de métricas para análise de fatores de transcrição.,fatores de transcrição,91819279,2018,2018/08/01 00:00:00.000,2019/07/31 00:00:00.000,FINALIZADO,INTERNO,Pesquisa Científica,6069,instituto metropole digital,,,(2018) Edital N° 01/2018 - Edital de Bolsas de Pesquisa da UFRN,,,"bioinformática no desenvolvimento de interfaces, analise e integração de dados biológicos ",genética humana e médica,
129473828,PIT15519-2018,Gestão de Informações de Avaliação em Museus,museu; avaliação; design; gestão da informação; tecnologias de informação e comunicação,91819313,2018,2018/08/01 00:00:00.000,2020/07/31 00:00:00.000,RENOVADO,INTERNO,Pesquisa Científica,6069,instituto metropole digital,,,(2018) Edital N° 01/2018 - Edital de Bolsas de Pesquisa da UFRN,,,ergonomia e interação humano-computador,programação visual,
129537048,PIT15807-2018,Mais Big Data,"big data, engenharia automática de algoritmos, inteligência computaciona",91819582,2018,2018/08/01 00:00:00.000,2019/07/31 00:00:00.000,FINALIZADO,INTERNO,Pesquisa Científica,6069,instituto metropole digital,,,(2018) Edital N° 01/2018 - Edital de Bolsas de Pesquisa da UFRN,16.0,GRUPO DE MICROONDAS E ANTENAS,inteligência computacional,análise de algoritmos e complexidade de computação,
134464902,PIT16119-2018,Seleção Automática de Comitês de Classificadores e seus Hiper-parâmetros baseada em Algoritmo Evolutivo,auto-ml; algoritmo evolutivo; comitê de classificadores,91823489,2018,2018/12/11 00:00:00.000,2021/12/06 00:00:00.000,FINALIZADO,EXTERNO,Pesquisa Científica,6069,instituto metropole digital,,,,,,auto-ml,arquitetura de sistemas de computação,
129433283,PVA15574-2018,Oncologia de precisão utilizando banco de dados,"tumores, assinatura mutacional, classificação molecular, terapia alvo",91819143,2018,2018/08/01 00:00:00.000,2019/07/31 00:00:00.000,EM EXECUÇÃO,INTERNO,Pesquisa Científica,179,departamento de biologia celular e genética,,,(2018) Edital N° 01/2018 - Edital de Bolsas de Pesquisa da UFRN,133289823.0,GRUPO DE PESQUISA EM INOVAÇÃO E TECNOLOGIA EM SAÚDE,bioinformática e genética,genética humana e médica,
